"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"float";0,661;-0,002;0,332;0;-1,926
"worry";-1,125;-0,149;3,295;0,095;-1,563
"hunter";-1,125;0,138;-3,755;8,644;-0,079
"entire";-1,255;14,064;-4,189;-0,482;-0,16
"national";20,016;-0,385;-2,473;-1,379;0,027
"million";-1,255;-4,028;-1,778;26,466;-0,16
"back";-1,125;11,553;-1,409;-0,325;-1,563
"0001f602";-0,49;-1,572;10,105;-0,912;-0,681
"traverse";0,026;4,922;-3,324;0,246;-1,384
"president";-0,741;4,596;-2,473;-0,011;0,027
"pay";-1,125;0,138;-3,755;1,404;2,74
"missile";0,454;-0,158;-0,188;1,601;-0,854
"mark";1,612;-1,174;-1,221;-0,681;6,766
"high";9,861;0,091;-2,473;-0,011;-1,029
"florida";-0,868;-2,785;-2,896;32,091;-1,206
"cuba";3,264;-0,385;-2,473;4,12;-1,029
"call";-0,49;-1,572;-1,635;-0,912;24,276
"world";-0,615;-0,158;-2,052;0,01;8,656
"well";-0,996;2,009;1,835;-1,854;-1,384
"reason";0,454;-1,973;-0,188;0,01;2,734
"news";0,859;-0,017;-0,027;0,121;-0,681
"happen";0,026;4,922;-1,058;-0,187;-1,384
"enter";-0,868;3,064;-0,73;0,505;-1,206
"big";0,093;-0,663;6,431;-1,616;-1,206
"attack";33,728;-2,377;-0,434;-1,379;-1,029
"administration";2,38;0,002;-0,73;0,505;-1,206
"wake";-0,868;3,064;0;-1,616;0
"tell";0,093;0,002;-2,896;-1,616;10,737
"submarine";-0,868;-2,785;-2,896;32,091;-1,206
"ship";-0,868;-2,785;-0,73;21,846;-1,206
"problem";-0,868;-2,785;-2,896;32,091;-1,206
"party";0,224;1,494;-2,473;-0,011;0,027
"interest";-0,615;-0,158;6,567;-1,145;-0,854
"illegal";-0,49;-1,572;-0,027;8,722;-0,681
"find";0,093;0,002;0,707;-0,079;-1,206
"day";3,264;-0,385;-0,434;-1,379;1,804
"ccp";3,264;1,494;-2,473;-0,011;-1,029
"care";0,093;0,802;-2,896;2,895;-1,206
"area";-0,615;-0,158;0,319;0,01;0,133
"age";-0,868;-0,663;-2,896;21,846;-1,206
"aerial";1,612;0,045;0,032;-0,681;-0,508
"woman";-0,366;0,045;-1,221;0,457;0,891
"white";-0,741;-2,377;4,335;-1,379;1,804
"warship";-0,741;-2,377;-2,473;27,394;-1,029
"usa";-0,615;-1,973;-0,188;12,964;-0,854
"track";0,224;-2,377;4,335;-0,011;-1,029
"stop";-0,615;2,616;-2,052;-1,145;2,734
"point";-0,49;-0,017;-0,027;0,121;0,376
"object";0,454;-1,973;6,567;-1,145;-0,854
"money";0,859;0,988;-1,635;-0,912;0,376
"mile";-0,741;-0,385;0,065;4,12;-1,029
"laptop";0,224;-0,385;-2,473;9,596;-1,029
"government";0,454;-0,158;0,319;0,01;-0,854
"democrat";-0,741;1,494;-2,473;-0,011;1,804
"american";-0,615;-0,158;-0,188;1,601;0,133
"airspace";50,997;-2,377;-2,473;-1,379;-1,029
"0001f525";-0,49;-0,017;0,903;-0,912;0,376
"word";-0,49;0,988;-0,027;-0,912;0,376
"water";-0,615;2,616;-0,188;0,01;-0,854
"surveillance";-0,49;4,486;-0,027;-0,912;-0,681
"story";-0,615;-0,158;6,567;-1,145;-0,854
"southern";-0,615;6,889;-2,052;-1,145;0,133
"soil";12,886;-1,973;-0,188;0,01;-0,854
"secret";-0,366;0,045;-1,221;4,74;-0,508
"report";33,723;-1,572;-1,635;-0,912;-0,681
"medium";-0,49;0,988;-0,027;0,121;-0,681
"matter";-0,366;-1,174;-1,221;-0,681;18,133
"incident";33,723;-1,572;-1,635;-0,912;-0,681
"house";-0,49;-0,017;-0,027;-0,912;4,207
"good";-0,615;-0,158;-2,052;-1,145;17,901
"feel";-0,615;-0,158;-0,188;0,01;2,734
"drone";0,859;-0,017;0,903;-0,912;-0,681
"donald";-0,615;-0,158;-2,052;-1,145;17,901
"china_s";-0,366;0,045;-1,221;4,74;-0,508
"child";0,454;2,616;-2,052;-1,145;0,133
"bad";-0,615;6,889;-2,052;0,01;-0,854
"arrest";1,612;0,045;-1,221;0,457;-0,508
"act";-0,49;10,51;-1,635;-0,912;-0,681
"0001f3af";9,887;0,045;-1,221;-0,681;-0,508
"0001f388";-0,49;-1,572;10,105;-0,912;-0,681
"watch";0,859;-0,017;-0,027;-0,912;0,376
"wait";6,521;0,988;-1,635;-0,912;-0,681
"vote";-0,49;-1,572;-1,635;0,121;12,173
"traitor";-0,49;4,486;-1,635;-0,912;0,376
"threat";6,521;0,988;-1,635;-0,912;-0,681
"surprise";-0,49;0,988;0,903;-0,912;-0,681
"spend";-0,366;2,27;-1,221;-0,681;0,891
"south";33,723;-1,572;-1,635;-0,912;-0,681
"son";-0,49;-1,572;-0,027;2,724;0,376
"situation";0,859;-0,017;-0,027;0,121;-0,681
"set";0,859;-0,017;-1,635;-0,912;4,207
"sensitive";-0,366;7,851;-1,221;-0,681;-0,508
"secretary";9,887;-1,174;-1,221;-0,681;0,891
"real";-0,366;-1,174;7,549;-0,681;-0,508
"push";-0,366;2,27;-1,221;0,457;-0,508
"office";0,859;-0,017;-1,635;0,121;0,376
"north";9,887;-1,174;-1,221;0,457;-0,508
"nation";-0,366;2,27;-1,221;0,457;-0,508
"member";-0,366;0,045;0,032;-0,681;0,891
"lot";-0,366;-1,174;2,141;0,457;-0,508
"lol";0,859;-0,017;0,903;-0,912;-0,681
"life";-0,49;0,988;-0,027;-0,912;0,376
"joebiden";-0,49;0,988;-1,635;2,724;-0,681
"inflation";17,475;-0,017;-1,635;-0,912;-0,681
"head";-0,49;-0,017;-1,635;2,724;0,376
"hate";-0,49;4,486;-1,635;-0,912;0,376
"hard";0,859;-0,017;-1,635;2,724;-0,681
"forget";-0,366;2,27;0,032;-0,681;-0,508
"family";-0,49;4,486;-1,635;0,121;-0,681
"election";0,859;-1,572;-1,635;-0,912;12,173
"catch";0,859;-0,017;-0,027;0,121;-0,681
"americans";-0,49;-1,572;-0,027;0,121;4,207
"week";-0,366;0,045;0,032;0,457;-0,508
"video";-0,366;0,045;-1,221;-0,681;6,766
"travel";-0,366;2,27;-1,221;0,457;-0,508
"texas";1,612;-1,174;2,141;-0,681;-0,508
"terrorist";1,612;2,27;-1,221;-0,681;-0,508
"term";-0,366;7,851;-1,221;-0,681;-0,508
"target";1,612;0,045;-1,221;0,457;-0,508
"taiwan";1,612;-1,174;0,032;0,457;-0,508
"stuff";-0,366;0,045;2,141;-0,681;-0,508
"steal";-0,366;0,045;-1,221;-0,681;6,766
"start";-0,366;0,045;-1,221;4,74;-0,508
"spot";-0,366;0,045;0,032;0,457;-0,508
"source";-0,366;0,045;-1,221;0,457;0,891
"soldier";1,612;2,27;-1,221;-0,681;-0,508
"sleep";-0,366;2,27;-1,221;0,457;-0,508
"shit";-0,366;0,045;0,032;0,457;-0,508
"sexual";-0,366;2,27;-1,221;-0,681;0,891
"sell";-0,366;2,27;-1,221;0,457;-0,508
"schumer";-0,366;-1,174;-1,221;-0,681;18,133
"sanction";1,612;0,045;-1,221;0,457;-0,508
"russia_s";-0,366;-1,174;-1,221;13,531;-0,508
"remind";-0,366;-1,174;-1,221;0,457;6,766
"refuse";-0,366;0,045;0,032;-0,681;0,891
"put";-0,366;-1,174;0,032;-0,681;6,766
"power";-0,366;0,045;0,032;0,457;-0,508
"pompeo";9,887;-1,174;0,032;-0,681;-0,508
"play";-0,366;-1,174;-1,221;0,457;6,766
"pant";-0,366;2,27;-1,221;-0,681;0,891
"october";9,887;-1,174;-1,221;0,457;-0,508
"night";-0,366;0,045;2,141;-0,681;-0,508
"montana";-0,366;0,045;2,141;-0,681;-0,508
"mike";9,887;-1,174;0,032;-0,681;-0,508
"middle";9,887;0,045;-1,221;-0,681;-0,508
"map";1,612;0,045;-1,221;0,457;-0,508
"maga";-0,366;-1,174;-1,221;-0,681;18,133
"long";-0,366;0,045;2,141;-0,681;-0,508
"line";-0,366;-1,174;-1,221;4,74;0,891
"kill";-0,366;0,045;0,032;0,457;-0,508
"jet";-0,366;0,045;0,032;0,457;-0,508
"installation";-0,366;7,851;-1,221;-0,681;-0,508
"information";-0,366;2,27;0,032;-0,681;-0,508
"hey";-0,366;0,045;0,032;-0,681;0,891
"hack";1,612;0,045;-1,221;0,457;-0,508
"guess";1,612;-1,174;0,032;-0,681;0,891
"grid";1,612;0,045;-1,221;0,457;-0,508
"girl";-0,366;7,851;-1,221;-0,681;-0,508
"garbage";1,612;-1,174;0,032;-0,681;0,891
"front";-0,366;2,27;-1,221;-0,681;0,891
"footage";1,612;0,045;-1,221;-0,681;0,891
"february";1,612;2,27;-1,221;-0,681;-0,508
"fall";-0,366;0,045;2,141;-0,681;-0,508
"fake";-0,366;-1,174;2,141;-0,681;0,891
"economy";-0,366;2,27;-1,221;0,457;-0,508
"east";1,612;0,045;-1,221;0,457;-0,508
"drug";1,612;-1,174;-1,221;4,74;-0,508
"destroy";-0,366;0,045;0,032;0,457;-0,508
"compromise";-0,366;2,27;0,032;-0,681;-0,508
"bring";-0,366;0,045;0,032;0,457;-0,508
"billion";1,612;2,27;-1,221;-0,681;-0,508
"bill";-0,366;0,045;0,032;-0,681;0,891
"atlantic";1,612;2,27;-1,221;-0,681;-0,508
"army";-0,366;0,045;-1,221;-0,681;6,766
"america_s";1,612;-1,174;-1,221;4,74;-0,508
"afghanistan";-0,366;2,27;-1,221;0,457;-0,508
"the";0,162;9,217;-0,422;-2,758;-2,458
"u";0,905;-3,716;13,181;-0,556;-5,002
"to";-1,208;15,792;-14,994;0,015;0,561
"a";-0,08;0,348;0,104;0,202;-2,005
"and";-0,084;5,376;-9,907;3,508;-0,513
"of";1,319;0,467;-4,945;2,751;-0,724
"is";-3,427;0,306;0,004;0,145;0,186
"in";1,569;0,061;-5,614;0,001;2,582
"that";0,826;11,522;-9,701;-1,801;0,126
"for";0,684;-0,111;1,633;-2,892;-0,006
"it";0,552;0;0,975;-2,823;-0,006
"our";0,379;5,602;-15,75;10,873;-4,373
"this";-0,019;-0,056;0,469;-0,163;0
"on";1,463;0,271;-1,008;0,036;-0,42
"over";0,307;5,041;-4,994;2,266;-4,58
"you";-1,184;0;-0,858;-0,077;6,175
"i";1,24;0,076;0,36;-0,568;-1,634
"was";0,17;0,336;0,221;-1,768;-0,06
"us";-0,043;0,336;-1,505;2,708;-0,627
"they";0,315;2,967;-0,331;-2,862;-0,008
"with";0,315;4,678;-5,391;3,537;-5,49
"s";0,647;1,612;-4,169;0,016;0,026
"like";0,236;-0,025;5,385;-5,117;-0,523
"have";0,004;6,175;-0,618;-0,249;-2,787
"we";0;-0,131;0;0,203;0
"he";-0,036;-0,19;0;0,46;0
"not";-1,083;-0,041;0,46;-0,015;0,192
"so";-0,22;2,025;-0,298;0,052;-0,909
"his";-1,321;5,584;-11,168;0,597;2,108
"are";-0,354;1,259;-2,845;-0,249;3,304
"about";-0,354;2,485;0,013;-0,249;-1,184
"all";0,045;2,025;-1,024;-3,807;2,108
"what";0,297;0,338;-0,266;-0,25;0
"be";-0,75;0,547;1,36;-2,579;0,008
"when";1,161;7,426;-3,028;-0,472;-2,059
"from";0,003;1,167;-0,396;-2,113;0,98
"or";0,297;0,338;0;0,008;-1,712
"at";1,385;-4,237;0,695;-1,374;3,281
"now";-0,646;-0,478;-1,671;21,501;-3,442
"just";-0,646;-0,025;0,084;0,102;0,035
"it_s";0,003;-0,31;-0,396;-0,674;5,692
"who";-1,787;1,652;-5,964;1,04;2,443
"has";2,27;2,066;-5,513;-0,836;0,753
"but";-2,198;0,021;0,389;1,497;-1,062
"think";0,542;-1,496;0,084;0,877;-0,244
"by";-0,202;0,003;0,358;0,095;-0,626
"as";0,458;0,186;-0,084;-2,828;1,165
"an";-0,134;0,762;-1,186;-3,076;6,492
"their";2,663;-0,052;0,133;-0,023;-2,11
"no";-0,202;-0,308;3,293;0,095;-2,483
"do";-0,362;0,785;-2,188;0,002;1,58
"one";-0,362;-0,71;0,055;1,907;-0,047
"were";0,192;-0,308;3,293;-1,239;-0,626
"up";-0,202;3,605;-3,364;-1,239;2,443
"those";-1,653;0,057;0,641;0,207;-0,494
"off";-1,787;-3,173;-5,964;44,983;-0,626
"been";-0,202;6,31;-0,382;-3,327;0
"there";1,42;-0,494;0,998;-0,266;-0,765
"com";6,156;-0,034;-1,058;0,246;-1,384
"out";0,192;-1,364;0,358;0,095;0
"didn_t";0,458;0,186;0,133;-2,828;0,055
"how";-1,125;-0,149;-0,191;0,095;2,74
"don_t";-0,077;1,19;-0,084;-0,023;-0,37
"did";0,306;7,719;-2,954;-1,036;-0,494
"will";0,661;0,411;-0,62;0,615;-1,926
"them";-0,033;1,765;-2,159;-0,656;1,566
"than";0,001;0,138;-0,191;1,404;-1,563
"had";0,306;-0,158;0,029;-0,079;0,012
"get";-1,125;0,138;-1,409;4,254;-0,079
"can";0,458;-2,396;2,799;-0,023;-0,37
"only";-1,125;0,138;-0,191;0,095;0,472
"your";-1,125;-0,149;-0,191;-0,325;6,885
"would";-0,996;2,009;-0,055;0,246;-1,384
"never";-0,741;1,494;-2,473;-1,379;6,362
"make";0,001;-0,149;-0,191;0,095;0,472
"if";0,093;0,002;-0,73;-1,616;4,766
"being";4,956;-0,149;-3,755;1,404;-0,079
"because";0,026;2,009;-1,058;-0,187;-0,023
"take";0,093;-0,663;-0,73;-0,079;4,766
"should";1,278;-0,149;-0,191;0,095;-0,079
"nothing";-0,006;5,34;-0,384;-2,337;-0,16
"me";1,746;-0,034;0,314;-0,187;-1,384
"he_s";0,026;4,922;-1,058;-0,187;-1,384
"going";-1,125;-0,149;-0,191;1,404;0,472
"even";4,956;0,138;-0,191;-2,095;-0,079
"any";-0,006;0,023;0,652;-2,337;0,271
"also";1,746;-0,034;-1,058;0,246;-0,023
"which";0,026;-0,034;-0,055;2,029;-1,384
"there_s";-0,741;-0,385;1,365;0,925;-1,029
"then";0,026;4,922;-3,324;-1,854;0,764
"since";13,256;-0,034;-3,324;0,246;-1,384
"see";0,454;-0,158;-0,188;0,01;0,133
"my";1,746;0,38;-0,055;-1,854;-0,023
"more";2,38;-0,663;-0,73;2,895;-1,206
"last";-1,125;0,138;3,295;-0,325;-1,563
"into";3,264;-2,377;-0,434;-0,011;1,804
"i_m";-0,868;-0,663;0;2,895;0
"go";0,001;0,138;0,099;0,095;-1,563
"f";-0,868;0,002;0,707;-1,616;1,187
"2023";6,156;-0,034;-0,055;-1,854;-0,023
"2";6,156;-3,196;1,835;-0,187;-1,384
"while";-0,615;2,616;-0,188;-1,145;0,133
"way";-0,741;-2,377;1,365;0,925;0,027
"want";-0,615;0,372;0,319;-1,145;0,133
"under";0,026;2,009;0,314;-1,854;-1,384
"old";0,224;1,494;-0,434;-1,379;0,027
"look";0,026;0,38;-0,055;-0,187;-0,023
"its";-0,615;2,616;-0,188;-1,145;0,133
"during";4,545;-0,158;0,319;-1,145;-0,854
"before";0,224;4,596;-0,434;-1,379;-1,029
"000";-0,741;1,494;-0,434;0,925;-1,029
"why";-0,615;0,372;-0,188;0,01;0,133
"where";9,861;-2,377;1,365;-1,379;-1,029
"what_s";-0,741;-0,385;-2,473;17,354;-1,029
"two";0,224;1,494;-2,473;-0,011;0,027
"through";7,729;0,802;-0,73;-1,616;-1,206
"these";-0,49;0,988;-0,027;-0,912;0,376
"some";0,454;-0,158;2,446;-1,145;-0,854
"same";0,224;0,091;0,065;-1,379;0,027
"other";-0,868;0,802;0,707;-1,616;0
"him";-0,868;-0,663;0,707;-0,079;1,187
"getting";-0,868;0,802;-0,73;0,505;0
"every";0,454;-0,158;-2,052;0,01;2,734
"ever";-0,741;1,494;-0,434;-0,011;0,027
"come";0,093;0,802;0,707;-1,616;-1,206
"after";0,454;0,372;0,319;-1,145;-0,854
"took";0,224;-0,385;-0,434;0,925;0,027
"still";0,859;-1,572;4,262;-0,912;-0,681
"oh";0,224;1,494;-2,473;0,925;-1,029
"much";-0,615;2,616;-0,188;-1,145;0,133
"mean";0,454;-0,158;0,319;0,01;-0,854
"little";-0,741;4,596;-0,434;-0,011;-1,029
"former";0,859;-1,572;-1,635;-0,912;12,173
"etc";0,224;4,596;-2,473;-0,011;-1,029
"doesn_t";-0,615;0,372;0,319;-1,145;0,133
"couldn_t";0,224;0,091;1,365;-1,379;-1,029
"could";-0,741;9,396;-0,434;-1,379;-1,029
"can_t";0,454;-0,158;0,319;-1,145;0,133
"anything";0,224;1,494;-0,434;-1,379;0,027
"across";-0,741;9,396;-2,473;-0,011;-1,029
"3";3,264;0,091;0,065;-1,379;-1,029
"whole";-0,615;2,616;0,319;-1,145;-0,854
"w";1,612;-1,174;0,032;0,457;-0,508
"too";0,454;-0,158;-0,188;-1,145;2,734
"say";1,612;0,045;-1,221;0,457;-0,508
"own";-0,615;2,616;-2,052;-1,145;2,734
"needs";0,859;-1,572;-1,635;0,121;4,207
"might";-0,615;-1,973;6,567;-1,145;0,133
"maybe";-0,49;4,486;-0,027;-0,912;-0,681
"let_s";0,454;-1,973;0,319;1,601;-0,854
"least";0,454;-1,973;2,446;0,01;-0,854
"got";0,859;-0,017;0,903;-0,912;-0,681
"everyone";-0,49;-0,017;0,903;0,121;-0,681
"won_t";-0,49;0,988;-1,635;2,724;-0,681
"we_re";0,859;-1,572;-0,027;0,121;0,376
"very";-0,49;4,486;-1,635;0,121;-0,681
"used";0,859;-0,017;0,903;-0,912;-0,681
"until";6,521;-0,017;-1,635;-0,912;0,376
"three";-0,49;-1,572;10,105;-0,912;-0,681
"that_s";-0,366;-1,174;2,141;0,457;-0,508
"something";-0,49;0,988;-0,027;-0,912;0,376
"seen";-0,366;2,27;-1,221;-0,681;0,891
"said";-0,366;-1,174;2,141;0,457;-0,508
"please";-0,366;2,27;-1,221;0,457;-0,508
"next";-0,49;-1,572;-1,635;18,115;-0,681
"new";0,859;-1,572;0,903;-0,912;0,376
"near";-0,49;4,486;-0,027;-0,912;-0,681
"most";-0,366;0,045;0,032;-0,681;0,891
"less";-0,366;0,045;0,032;0,457;-0,508
"here";-0,366;0,045;0,032;-0,681;0,891
"doing";-0,366;0,045;0,032;-0,681;0,891
"does";0,859;0,988;-1,635;0,121;-0,681
"another";-0,49;-1,572;4,262;0,121;-0,681
"again";-0,49;-0,017;-0,027;0,121;0,376
"actually";-0,49;-1,572;4,262;0,121;-0,681
"25";-0,49;-1,572;0,903;2,724;-0,681
"zero";1,612;2,27;-1,221;-0,681;-0,508
"wouldn_t";-0,366;2,27;0,032;-0,681;-0,508
"without";-0,366;0,045;0,032;-0,681;0,891
"we_ve";1,612;-1,174;0,032;-0,681;0,891
"such";-0,366;0,045;0,032;0,457;-0,508
"serious";-0,366;0,045;2,141;-0,681;-0,508
"really";1,612;-1,174;-1,221;-0,681;6,766
"meanwhile";-0,366;-1,174;0,032;4,74;-0,508
"i_ve";-0,366;0,045;-1,221;-0,681;6,766
"help";-0,366;2,27;-1,221;0,457;-0,508
"gets";-0,366;0,045;2,141;-0,681;-0,508
"done";-0,366;2,27;-1,221;-0,681;0,891
"away";-0,366;0,045;0,032;-0,681;0,891
"along";-0,366;0,045;-1,221;4,74;-0,508
"50";1,612;2,27;-1,221;-0,681;-0,508
"40";1,612;-1,174;-1,221;0,457;0,891
"20";1,612;0,045;-1,221;0,457;-0,508
"100";-0,366;-1,174;0,032;4,74;-0,508
"*id_1800554268950413312";0;0;0;0;0
"fait";0;0;0;0;0
"*id_1799430952143278336";-0,243;0,49;-0,811;-0,452;2,086
"*id_1799888017265500416";-0,243;5,213;-0,811;-0,452;-0,338
"*id_1800571788298195456";-0,121;-0,388;2,496;-0,225;-0,168
"*id_1800201778392432896";0;0;0;0;0
"*phase_Pic";17,475;-0,017;-1,635;-0,912;-0,681
"*id_1800254127433286144";-0,121;2,596;-0,404;-0,225;-0,168
"*id_1800644163072880896";-0,49;-1,572;-1,635;-0,912;24,276
"*id_1800892010691211520";-0,243;0,49;-0,811;1,351;-0,338
"*platform_Twitter";0;0;0;0;0
"*id_1800626178753171968";-0,615;0,372;-2,052;0,01;2,734
"*id_1800304961391304960";0;0;0;0;0
"*id_1800898652510281984";-0,243;5,213;-0,811;-0,452;-0,338
"*id_1800299635527106816";0;0;0;0;0
"débunkage";-4,956;0,149;-0,099;0,325;1,563
"*id_1800675602619592960";-0,121;-0,388;-0,404;-0,225;5,996
"*id_1800613370430644480";3,234;0,49;-0,811;-0,452;-0,338
"*id_1800338076100923392";3,234;-0,78;0,448;-0,452;-0,338
"*phase_Début";-0,243;-0,78;0,448;1,351;-0,338
"*phase_Après";-4,956;0,149;-0,099;0,325;1,563
"*id_1800435788842430720";-0,121;-0,388;2,496;-0,225;-0,168
"*id_1651553642514886656";-0,121;2,596;-0,404;-0,225;-0,168
"*id_1800299144474775552";-0,121;-0,388;-0,404;4,474;-0,168
"*id_1800179200282030336";-0,243;-0,78;0,448;1,351;-0,338
"*id_1794985051072905216";-0,121;-0,388;-0,404;4,474;-0,168
"*id_1800835266745430528";-0,243;0,49;-0,811;1,351;-0,338
"*id_1800311326973350144";-0,243;0,49;-0,811;-0,452;2,086
"*phase_Fin";-0,366;0,045;2,141;-0,681;-0,508
"*id_1800181501608542720";-0,243;-0,78;-0,811;-0,452;12,04
"*id_1800446166871523584";0,454;6,889;-2,052;-1,145;-0,854
"du";0;0;0;0;0
"*id_1800768995680985344";8,329;-0,388;-0,404;-0,225;-0,168
"*id_1800353151070929408";0;0;0;0;0
"*id_1800326301733339648";-0,121;-0,388;-0,404;-0,225;5,996
"*id_1792100320320815360";8,329;-0,388;-0,404;-0,225;-0,168
"*id_1800629895690641408";-0,243;0,49;-0,811;-0,452;2,086
"*id_1800888038970835200";-0,243;5,213;-0,811;-0,452;-0,338
"*id_1800001363868270592";-0,366;7,851;-1,221;-0,681;-0,508
"*id_1799930858843086848";-0,121;-0,388;2,496;-0,225;-0,168
"*id_1800445186880803328";-0,121;-0,388;2,496;-0,225;-0,168
"*id_1800633014663193088";-0,243;0,49;0,448;-0,452;-0,338
