"attached_post_url","author/id","author/name","author/url","comments_count","create_date","image","message","post_id","reactions_count","timestamp","type","url","video"
,"100064849472181","Hong Kong Free Press HKFP","https://www.facebook.com/hongkongfp","0","2024-02-11T13:00:25",,"8 Chinese balloons were detected around Taiwan for another straight day, with 5 flying directly over the island, its defence ministry says. 

🔗 Full story: https://buff.ly/42DFLNm 
💰 Support HKFP's newsroom: https://bit.ly/HKFPSupport
🔒 Ethics & Policies: https://buff.ly/46Q2sPj
🎙️ Podcast: https://buff.ly/4bqOtTu
🔎 Transparency Report: https://buff.ly/47WfJpG
📧 Newsletter: https://buff.ly/4bdzv39
📲 HKFP Apps: https://buff.ly/48U7Fql
📝 Got a story? https://hongkongfp.com/contact-us","811595517678757","16","1707656425","post","https://www.facebook.com/hongkongfp/posts/pfbid0gAcgbMEqrbdMD9bvmNjpytZEhQByN35Ca4mCEx7NMLRcZ9SbGu2yrBN9ba8n1aNzl",
,"100064849472181","Hong Kong Free Press HKFP","https://www.facebook.com/hongkongfp","0","2024-02-11T13:00:25",,"8 Chinese balloons were detected around Taiwan for another straight day, with 5 flying directly over the island, its defence ministry says. 

🔗 Full story: https://buff.ly/42DFLNm 
💰 Support HKFP's newsroom: https://bit.ly/HKFPSupport
🔒 Ethics & Policies: https://buff.ly/46Q2sPj
🎙️ Podcast: https://buff.ly/4bqOtTu
🔎 Transparency Report: https://buff.ly/47WfJpG
📧 Newsletter: https://buff.ly/4bdzv39
📲 HKFP Apps: https://buff.ly/48U7Fql
📝 Got a story? https://hongkongfp.com/contact-us","811595517678757","16","1707656425","post","https://www.facebook.com/hongkongfp/posts/pfbid0gAcgbMEqrbdMD9bvmNjpytZEhQByN35Ca4mCEx7NMLRcZ9SbGu2yrBN9ba8n1aNzl",
,"100064391875569","CNA","https://www.facebook.com/ChannelNewsAsia","0","2023-12-18T05:26:59",,"This is the second time Taiwan has reported a Chinese balloon sighting in December.","750418567114532","44","1702877219","post","https://www.facebook.com/ChannelNewsAsia/posts/pfbid02a1w9SyjeXqpBJX3nSLcJhB8aA1pAXxW4C12QB8agEpmJpCDdFhdiomoEk7M9bTLDl",
,"100059610244841","NPR","https://www.facebook.com/NPR","0","2023-02-07T09:05:50",,"This wasn't the first Chinese balloon over the U.S. It happened at least 3 times during the Trump administration and at least 1 other time during the Biden administration.","10162171647236756","201","1675760750","post","https://www.facebook.com/NPR/posts/pfbid09c8pEpFYaaup1Me6Kts3rnUwLymzukMjWjkyxv4FZDA251kMx4FNhVsEHgWBXCPvl",
,"100064822867502","Philstar.com","https://www.facebook.com/philstarnews","0","2024-01-22T18:00:00",,"A record six Chinese balloons were detected around Taiwan, with one flying directly above the island, Taipei's defense ministry said Monday.","774439091393513","2","1705946400","post","https://www.facebook.com/philstarnews/posts/pfbid0EGybbRzcwLErBd9Jeh5GWkmYjqQ52EKUZCNrnn4nyGQN1FBdxRXba2tjjVgKUNF4l",
,"100068315085098","The Straits Times","https://www.facebook.com/TheStraitsTimes","0","2024-01-08T10:00:07",,"Multiple balloon sightings have been reported over the past month.","678379907782506","40","1704708007","post","https://www.facebook.com/TheStraitsTimes/posts/pfbid02TdvwwaLK45tkkUE4HsqqiQaeaMJRZVHz7afGv1x7aXVRquFjLGv4W1tj6Z8BBjtVl",
,"100064381760748","Stars and Stripes","https://www.facebook.com/stripesmedia","0","2024-01-22T06:00:22",,"Taiwan said that six Chinese balloons either flew over the island or through airspace just north of it, while Chinese warplanes and navy ships were also detected in the area.","775904867898898","10","1705903222","post","https://www.facebook.com/stripesmedia/posts/pfbid02if6j92DQpaMukVM365Kfnh5fT5BCu9gUbsT6nxRtxdG1X5NYxPcrUGNtuUSUzW1bl",
,"100068315085098","The Straits Times","https://www.facebook.com/TheStraitsTimes","0","2024-01-08T10:00:07",,"Multiple balloon sightings have been reported over the past month.","678379907782506","40","1704708007","post","https://www.facebook.com/TheStraitsTimes/posts/pfbid02TdvwwaLK45tkkUE4HsqqiQaeaMJRZVHz7afGv1x7aXVRquFjLGv4W1tj6Z8BBjtVl",
,"100064822867502","Philstar.com","https://www.facebook.com/philstarnews","0","2024-01-22T18:00:00",,"A record six Chinese balloons were detected around Taiwan, with one flying directly above the island, Taipei's defense ministry said Monday.","774439091393513","2","1705946400","post","https://www.facebook.com/philstarnews/posts/pfbid0EGybbRzcwLErBd9Jeh5GWkmYjqQ52EKUZCNrnn4nyGQN1FBdxRXba2tjjVgKUNF4l",
,"100059306690876","ABC News","https://www.facebook.com/ABCNews","0","2023-02-13T18:06:47",,"JUST IN: A significant portion of the payload of the Chinese balloon shot down off South Carolina has been recovered, a U.S. official says. https://abcn.ws/3IhljcJ","10162507437098812","2133","1676311607","post","https://www.facebook.com/ABCNews/posts/pfbid0Kax16xM4wUYVfp7rNS2HqQBMsFnJAXhocuehvmF43wGENkvCrxc5ioZjxJpGZb4Ul",
