"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isReply","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","replyingTo/0","replyingTo/1","replyingTo/2","replyingTo/3","replyingTo/4","replyingTo/5","replyingTo/6","replyingTo/7","replyingTo/8","replyingTo/9","replyingTo/10","replyingTo/11","replyingTo/12","replyingTo/13","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1800884106630398378",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/mjfree",,,,,,,,,,,,,,"0","chinese balloons","Man who loves-little girls
Man who care by letting child sex trafficking southern border 
Man who does the right thing by letting a Chinese spy balloon float over the whole United States before shooting down over water to make UNRETRIEVABLE!!","2024-06-12T13:33:00.000Z","https://twitter.com/Ladydirosemarie/status/1800884106630398378","https://abs.twimg.com/sticky/default_profile_images/default_profile.png",,"2023-05-05T19:48:00.000Z",,"555","243","10712","4986","https://twitter.com//Ladydirosemarie","Diane Silva","@Ladydirosemarie","false",,,"false"
,,"1800888038970835085",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","1","/harryjsisson",,,,,,,,,,,,,,"0","chinese balloons","BS. Let me ask you a serious question. The DOJ found a US map on HB laptop written in Chinese. Pointing out military bases, power grids etc. Then a spy balloon just happens to fly over those areas. Now our military gets hacked weekly along with Chinese migrants illegally….","2024-06-12T13:49:00.000Z","https://twitter.com/RoseAttell/status/1800888038970835085","https://pbs.twimg.com/profile_images/1641505342159740939/biU4YgkM.jpg","actor, assistant producer, props, hair/wardrobe, writer. #Backstage #Mandy.com #IMBD #Trepidity #tea ☕️#video 🎬#AnnaKeymovie","2022-01-07T18:47:00.000Z","New Jersey, USA","900","2220","1894","3719","https://twitter.com//RoseAttell","RoseAnn Attell Warren","@RoseAttell","false","pro.imdb.com/name/nm13487066…",,"false"
,,"1800883959808835866",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/CueBacca17",,,,,,,,,,,,,,"0","chinese balloons","I remember this psyop came out during the Chinese balloon thing and now we got this white wanna-be jew","2024-06-12T13:32:00.000Z","https://twitter.com/realepiczack/status/1800883959808835866","https://pbs.twimg.com/profile_images/1800240764435267584/gT0Lr-e2.jpg",,"2019-09-17T16:39:00.000Z",,"105","59","5828","4344","https://twitter.com//realepiczack","The Epic Zack","@realepiczack","false",,,"false"
"https://pbs.twimg.com/profile_images/1641505342159740939/biU4YgkM.jpg","RoseAnn Attell Warren","1800874698462618071",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","3","/ericmmatheny",,,,,,,,,,,,,,"0","chinese balloons","What makes me nervous is, they found a map on HB laptop with our military bases, electric grids, etc in Chinese! Then this balloon appeared & flies over almost ALL of them. Now our military are being hacked almost daily, Chinese migrants caught on bases. Nobody reports it or …","2024-06-12T12:56:00.000Z","https://twitter.com/RoseAttell/status/1800874698462618071","https://pbs.twimg.com/profile_images/1641505342159740939/biU4YgkM.jpg","actor, assistant producer, props, hair/wardrobe, writer. #Backstage #Mandy.com #IMBD #Trepidity #tea ☕️#video 🎬#AnnaKeymovie","2022-01-07T18:47:00.000Z","New Jersey, USA","900","2220","1894","3719","https://twitter.com//RoseAttell","RoseAnn Attell Warren","@RoseAttell","false","pro.imdb.com/name/nm13487066…","@RoseAttell","false"
,,"1800869001096278275",,,,,"false","true","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","/SpeakerJohnson",,,,,,,,,,,,,,"0","chinese balloons","Joe is in this scheme up to his eyeballs. He orchestrated the firing of the Ukrainian prosecutor looking into Burisma, allowed a Chinese spy balloon to traverse the U.S., received so called loan repayments from his brother after his brother received them from China. 10% Big Guy.","2024-06-12T12:33:00.000Z","https://twitter.com/CarmineStrange/status/1800869001096278275","https://pbs.twimg.com/profile_images/1520454821895147520/XBdZgXBv.jpg","I’m a retired U.S. Postal Service clerk. I enjoy a rigorous debate on the topics of the day. I believe in freedom of speech, the Constitution, and America.","2022-04-28T11:59:00.000Z",,"31","270","17","586","https://twitter.com//CarmineStrange","Carmine Strange","@CarmineStrange","false",,,"false"
,,"1800880780740383114",,,,,"false","false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,"0","chinese balloons","Leftists hated plastic drinking straws worse than Biden’s plastic helmet hitting the ground and the plastic on the Chinese spy balloon the size of 3 buses. Done in the words of “follow the science” so obviously the media sucks for that to be what goes on about…","2024-06-12T13:20:00.000Z","https://twitter.com/EblingJr/status/1800880780740383114","https://pbs.twimg.com/profile_images/1303409706208235523/ii7hc7ne.jpg","I live life as a peace loving Republican who will vote for President Donald Trump again, I enjoy rock music, and it's my freedom to express myself.","2016-03-16T14:51:00.000Z",,"3445","4977","290026","303002","https://twitter.com//EblingJr","Les Ebling Jr★","@EblingJr","false",,,"false"
,,"1800881092159021517",,,,,"false","true","false","0","https://twitter.com/search?q=%23CCP","https://twitter.com/search?q=%23unrestrictedwarfare","https://twitter.com/search?q=%23NFSCSpeaks",,,,,,,,,,,,,,,,,,,,,,"0","0","/MarioNawfal",,,,,,,,,,,,,,"0","chinese balloons","Russia? The Chinese Communist Party has set up cargos with launching pads of missiles and balloons. Watch out the threat from the #CCP😡😡😡 #unrestrictedwarfare #NFSCSpeaks","2024-06-12T13:21:00.000Z","https://twitter.com/TCC52472761/status/1800881092159021517","https://pbs.twimg.com/profile_images/1620712864326762496/Szo0QaHQ.jpg","a mom and a researcher-fight for freedom from fear of the CCP; also a supporter of the New Federal State of China and Miles Guo’s Whistleblower Movement.","2019-03-15T15:00:00.000Z",,"313","442","10790","10500","https://twitter.com//TCC52472761","Free Miles Guo - TCC","@TCC52472761","false",,,"false"
,,"1800001363868270801","https://pbs.twimg.com/media/GPrjox3W8AAm4b-.jpg",,,,"false","true","true","189",,,,,,,,,,,,,,,,,,,,,,,,,"4","16","/Carissa1177",,,,,,,,,,,,,,"75","chinese balloons","This current administration is compromised to the Chinese. Has been for a while.  Certain members are working with the Chinese

Do you remember the spy balloon that floated  across our country?  They waited for it to finish its surveillance before shooting it down.  Everyone’s aware of the 50,000 Chinese soldiers that are in our country right ? 

Everyone’s aware that our strategic oil reserves are drained down to just about empty ? 

We are being completely set up.  Something big is coming in the near future imo.  We have a woke, vaccinated, military that is being completely sabotaged from upper leadership.  This won’t end well for America if it’s allowed to continue.","2024-06-10T03:05:00.000Z","https://twitter.com/HappyCamper2626/status/1800001363868270801","https://pbs.twimg.com/profile_images/1598392666315784195/nezRn_mF.jpg","♥️ my Latin USAF wife of 36 years. Anti- covid vax pure🩸Sunrise is best , clear night skies, 🙏 works God bless America 🇺🇸IFB 💯 #TRUMP2024","2022-08-11T11:26:00.000Z","Spaceship 🌎","27374","22324","40456","146447","https://twitter.com//HappyCamper2626","I’m No Angel","@HappyCamper2626","true",,,"true"
,,"1800864648541147371",,,,,"true","false","false","0","https://twitter.com/jontester",,,,,,,,,,,,"","Tim Sheehy",,,,,,,"🚨This is no joke. Donald Trump Jr. is sounding the alarm 🚨!

Montana is the #1 Senate Race in the COUNTRY. We need help from supporters across our nation to fight back against the liberal dark money pouring into Montana. Can you chip in any amount?","2024-05-09T19:49:00.000Z","https://twitter.com/SheehyforMT/status/1788657579209470005","@SheehyforMT","0","0",,,,,,,,,,,,,,,"0","chinese balloons","Link @jontester to the Chinese Spy balloon!","2024-06-12T12:16:00.000Z","https://twitter.com/ECommBeauty/status/1800864648541147371","https://pbs.twimg.com/profile_images/1754371077906817024/CKvW-Nye.jpg",,"2023-11-24T19:13:00.000Z",,"28","89","600","179","https://twitter.com//ECommBeauty","E-CommQueen51","@ECommBeauty","false",,,"true"
,,"1800864082050027678",,,,,"false","true","false","0","https://twitter.com/JoeBiden",,,,,,,,,,,,,,,,,,,,,,,,"0","0","/mmpadellan",,,,,,,,,,,,,,"0","chinese balloons","Oh please,he ain't getting time his family sacrificed him on the alter of politics theyve sold us to the highest bidder. @JoeBiden allowed a Chinese spy balloon traverse the USA over&our nuclear bases Now we have a Russian sub 25 miles off the coast of Florida that is treason imo","2024-06-12T12:13:00.000Z","https://twitter.com/GIGISFLYING/status/1800864082050027678","https://pbs.twimg.com/profile_images/1045059882733498369/GnsR-IhA.jpg","Widow of Jimmy Dougherty Grandmother Caleb,Jay and Avalee Love my God,My Family,myUSA&my Florida Gators #DONTBEADONKEY #WHYisThat #ULTRAUSAMAGA #PrisonReform","2010-06-02T16:22:00.000Z","Jacksonville, Florida","4148","5429","48877","152915","https://twitter.com//GIGISFLYING","GIGI DOUGHERTY","@GIGISFLYING","false",,,"false"
