"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"*id_1651553642514886656";0,681;0,649;0,629;0,649;0,023;0,712;0,629;0,72;0,663;0,649;0,673;0,013
"*id_811595517678757";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_j746qb1";0,681;0,649;0,629;0,649;0,685;0,712;0,067;0,72;0,663;0,649;0,03;0,708
"*id_t1_j7dz7y7";0,681;0,649;0,629;0,649;0,685;0,712;0,067;0,72;0,663;0,649;0,673;0,013
"*id_t1_j71q9i6";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,002;0,766;0,791
"*id_1800311326973350144";0,771;0,002;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_1800571788298195456";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,001;0,791
"du";1;1;1;1;1;1;1;1;1;1;1;1
"*id_866680028656064";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_1800353151070929408";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0
"*id_t1_j713qfp";0,681;0,649;0,629;0,649;0,685;0,712;0,067;0,72;0,663;0,649;0,03;0,708
"*id_t1_j75npdi";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,001;0,748;0,766;0,791
"fait";1;1;1;1;1;1;1;1;1;1;1;1
"*id_878401554150578";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_j713af8";0,681;0,649;0,629;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0;0,708
"*id_1800445186880803328";1;1;1;1;1;1;1;1;1;1;1;1
"*id_1800554268950413312";1;1;1;1;1;1;1;1;1;1;1;1
"*phase_Après";0,001;0;0;0,885;0,002;0,002;0;0,014;0;0,31;0,083;0
"*id_1800446166871523584";0,614;0,001;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"*id_t3_10scu1l";0,681;0,649;0,629;0,649;0,023;0,712;0,067;0,72;0,663;0,649;0,673;0,708
"*platform_Twitter";0;0;0;0,002;0;0,131;0,006;0;0;0,45;0,004;0
"*id_765222945644684";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_678379907782506";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_ktbaq5z";0,681;0,649;0,629;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0;0,708
"*id_1800675602619592960";0,771;0,748;0,733;0,002;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_t1_j789d6l";0,681;0,649;0,629;0,649;0,685;0,712;0;0,72;0,663;0,649;0,673;0,708
"*id_t1_kt8kabn";0,771;0,748;0,733;0,748;0,774;0,794;0,003;0,8;0,758;0,748;0,766;0,791
"*id_1800001363868270592";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"*id_782939367350354";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_801706851997523";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_j734wpx";0,614;0,577;0,554;0,577;0,092;0,055;0,554;0,661;0,593;0,153;0,605;0,646
"*id_t1_j70vg1m";0,771;0,748;0,733;0,748;0;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_t1_j75zg3c";0,771;0,748;0,733;0,002;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_1800304961391304960";1;1;1;1;1;1;1;1;1;1;1;1
"*id_t1_j71q19g";0,681;0,649;0,629;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0;0,708
"*id_609200551245622";0,614;0,577;0,554;0;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"*id_t1_j7biwhi";0,681;0,649;0,629;0,048;0,685;0,712;0,629;0,72;0,037;0,649;0,673;0,708
"*id_t1_ktb8liy";0,771;0,002;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_t1_j721rcy";0,001;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_t1_j72doqq";1;1;1;1;1;1;1;1;1;1;1;1
"*id_1800629895690641408";0,771;0,002;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_671368948527826";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_j72lkpp";0,681;0,649;0,629;0,048;0,685;0,712;0,629;0,72;0,663;0,048;0,673;0,708
"*id_t1_j74dwk5";0,614;0,577;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,153;0,605;0,06
"*id_t1_j76o9ui";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,001;0,748;0,766;0,791
"*platform_Reddit";0,001;0;0;0;0,012;0,446;0;0;0;0,343;0;0
"*id_6336052586407540";0,681;0,649;0,629;0,649;0,023;0,011;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_ktb9jzp";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,001;0,748;0,766;0,791
"*id_t1_j70w1n1";0,475;0,429;0,401;0,429;0,48;0,006;0,401;0;0,448;0,429;0,464;0,515
"*id_771143475196610";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_1800626178753171968";0,197;0,281;0,494;0,005;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,596
"*id_1800898652510281984";0,771;0,748;0,733;0,002;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_t1_j70wp8j";0,681;0,649;0,629;0,649;0,023;0,712;0,629;0,009;0,663;0,649;0,673;0,708
"*id_1800299635527106816";1;1;1;1;1;1;1;1;1;1;1;1
"débunkage";0,001;0;0;0,885;0,002;0,002;0;0,014;0;0,31;0,083;0
"*id_10159747517141408";1;1;1;1;1;1;1;1;1;1;1;1
"*id_1800435788842430720";1;1;1;1;1;1;1;1;1;1;1;1
"*id_1792100320320815360";0,681;0,649;0,629;0,649;0,685;0,712;0,629;0,72;0,037;0,649;0,673;0,013
"*id_t1_j79yyxf";0,681;0,649;0,629;0,649;0,685;0,712;0,067;0,72;0,663;0,649;0,03;0,708
"*id_1800179200282030336";1;1;1;1;1;1;1;1;1;1;1;1
"*id_t1_ktc6llp";0,681;0,649;0,629;0,649;0,023;0,712;0,629;0,009;0,663;0,649;0,673;0,708
"*id_t1_j75fp0k";0,614;0,577;0,554;0,577;0,619;0,651;0,001;0,661;0,593;0,153;0,605;0,646
"*id_t1_j72ua41";0,681;0,649;0,629;0,048;0,685;0,712;0,629;0,72;0,037;0,649;0,673;0,708
"*id_t1_j72af4k";0,771;0,002;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_1800768995680985344";0,771;0,748;0,733;0,748;0,774;0,794;0,003;0,8;0,758;0,748;0,766;0,791
"*id_1800181501608542720";0,771;0,748;0,733;0,748;0,774;0;0,733;0,8;0,758;0,748;0,766;0,791
"*id_t1_kt80sn1";0,681;0,649;0,629;0,649;0,685;0,712;0,629;0,72;0,037;0,649;0,03;0,708
"*id_t1_j75ormi";0,067;0,36;0,331;0,759;0,598;0,03;0,331;0,436;0,697;0,36;0,397;0,451
"*id_t1_j71ph0d";0,514;0,47;0,444;0,47;0,52;0,558;0,03;0,57;0,365;0,412;0,504;0,221
"*id_10168202689905712";0,614;0,577;0,554;0,577;0,619;0;0,554;0,661;0,593;0,577;0,605;0,646
"*id_t1_ktc7osf";0,681;0,649;0,629;0,649;0,685;0,712;0,629;0;0,663;0,649;0,673;0,708
"*id_t1_j7c0gai";0,614;0,577;0,554;0,577;0,092;0,651;0,001;0,661;0,593;0,577;0,605;0,646
"*id_775904867898898";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_1799430952143278336";0,681;0,048;0,629;0,048;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_j72ycru";0,681;0,649;0,629;0,649;0,685;0,712;0,629;0,009;0,663;0,048;0,673;0,708
"*id_t1_kt9rfbi";0,408;0,36;0,331;0,36;0;0,458;0,331;0,471;0,697;0,36;0,397;0,451
"*id_10161139794274300";0,681;0,649;0,629;0,649;0,023;0,011;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_j7a4d9w";0,025;0,649;0,629;0,649;0,685;0,712;0,067;0,72;0,663;0,649;0,673;0,708
"*id_1800644163072880896";0,614;0,577;0,554;0;0,619;0,651;0,554;0,661;0,593;0,577;0,605;0,646
"*id_t1_j72d0l0";0,681;0,649;0,629;0,649;0,685;0,712;0;0,72;0,663;0,649;0,673;0,708
"*id_t1_j785sb0";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,001;0,791
"*id_t1_j746a6c";0,681;0,649;0,629;0,649;0,023;0,712;0,629;0,72;0,663;0,649;0,673;0,013
"*id_1800613370430644480";0,56;0,281;0,494;0,519;0,187;0,601;0,494;0,612;0,537;0,519;0,551;0
"*id_t1_j73qhk4";0,771;0,748;0,733;0,748;0,774;0,794;0,733;0,8;0,001;0,748;0,766;0,791
"*id_774439091393513";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_1800299144474775552";1;1;1;1;1;1;1;1;1;1;1;1
"*id_1794985051072905216";0,681;0,048;0,629;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,013
"*id_1800835266745430528";1;1;1;1;1;1;1;1;1;1;1;1
"*id_t1_j75bloo";0,514;0,47;0,444;0,47;0,293;0,558;0,482;0,57;0,365;0,412;0,329;0,553
"*id_10160886137242444";1;1;1;1;1;1;1;1;1;1;1;1
"*id_t1_ktb94nw";0,681;0,649;0,629;0,649;0,685;0,712;0;0,72;0,663;0,649;0,673;0,708
"*id_t1_j70q5wz";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0;0,577;0,605;0,646
"*id_t1_kt7wxfr";0,681;0,649;0,629;0,649;0,685;0;0,629;0,72;0,663;0,649;0,673;0,708
"*id_787930600044362";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_t1_j77doko";0,681;0,649;0,629;0,649;0,685;0,712;0,067;0,72;0,663;0,048;0,673;0,708
"*id_1800326301733339648";1;1;1;1;1;1;1;1;1;1;1;1
"*id_t1_j75m7l4";0,56;0,519;0,494;0,519;0,565;0,601;0,494;0;0,537;0,519;0,551;0,596
"*id_1800888038970835200";0,771;0,002;0,733;0,748;0,774;0,794;0,733;0,8;0,758;0,748;0,766;0,791
"*id_t1_kt68m5f";0,681;0,649;0,629;0,649;0,685;0,712;0,067;0,72;0,663;0,048;0,673;0,708
"*id_1799930858843086848";1;1;1;1;1;1;1;1;1;1;1;1
"*id_1800633014663193088";0;0,649;0,629;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
"*id_769236291894499";0,681;0,649;0;0,649;0,685;0,712;0,629;0,72;0,663;0,649;0,673;0,708
