"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"mass";"chi.distance";"inertie"
"what";-0,490458323035966;0,457845670976527;-0,59531523892304;0,108571111509868;0,0930945153815637;-0,14990709889826;-0,490849815295021;-2,16443295697355;1,48375053010442;-1,56484111304632;-0,700734248418975;-0,148457007526422;0,138585472056752;-0,180196185393128;0,0328634290856769;0,028178812595369;-0,0453754340871306;-0,14857550846018;-0,655152996068733;0,449116985621818;-0,473662323557179;-0,212105503577985;0,0548506046403738;0,0349065550520952;0,0545387499593224;0,00160158852935594;0,00104122550954956;0,00253412562625361;0,0255203495160399;0,429514606025499;0,182396718221901;0,18089328366796;0,0322021932516494;0,00245305285434492;0,00213767123062755;0,0036140710616037;0,00012020741445784;8,83793654343979e-05;0,000229164365599279;0,00245697055516808;0,0477739294976963;0,0224504195928558;0,0249714168043544;0,00500736646377898;0,0101977107180021;1,61034237673714;0,0264447296452561
"shoot";-0,394447050218866;-0,223600606107929;-0,398584550781514;-1,08117563772071;-0,6668193873922;2,41772149099137;0,159035711689389;0,479122139616383;0,565579134970393;-0,0294009527372774;-0,286093256775475;-0,135446762670257;-0,0767808460264093;-0,136867513710088;-0,371258296711725;-0,228975035452597;0,830206611537296;0,0546103013961842;0,164522824289539;0,194210763708532;-0,0100958135330859;-0,0982398155355127;0,0356443008635741;0,00836469658984631;0,0245633488752859;0,159569674031095;0,0536720914588771;0,662264929608133;0,0026916224470591;0,0211454831935766;0,0266267081643851;6,41564357642214e-05;0,0053929883324032;0,00165140733543072;0,000530667800966386;0,00168623347558934;0,0124070715379064;0,00471946989916911;0,0620425052254064;0,00026845166227265;0,00243651597465132;0,00339518577598476;9,17486308321342e-06;0,000868744418354276;0,0106139438085328;1,60657307691896;0,0273954067899112
"https";-0,359162634098803;-1,09919626484382;1,30091516153708;-1,07434304992936;-0,568953868938024;-0,917442813670898;0,878739373331011;-0,40250998721644;-0,343291421097704;-0,305377664420777;-0,0535220160087469;-0,140903363262191;-0,431226513833635;0,510363005993895;-0,421476330387875;-0,223206720475131;-0,359922680629956;0,344738904824905;-0,157908995983742;-0,134676915746244;-0,119802941333266;-0,0209972623770508;0,0328590535896142;0,224757817740292;0,290940836705639;0,175187813431701;0,0434456472492983;0,106032084943924;0,0913703060153584;0,0165935204599301;0,0109072859710299;0,00769576926616388;0,00020986462704888;0,000859090432351574;0,0080465010856798;0,0112707946390313;0,00768674623221821;0,00215581106333933;0,00560550304337231;0,00514252910712793;0,00107897133691724;0,000784842454438503;0,000621056518973328;1,90775022527571e-05;0,00665972944849116;1,52359817987138;0,0154595723701637
"know";-0,623892643638676;-0,630878671672549;-0,876111708839519;0,262798164984229;-0,0177179411964429;0,0590512775338147;-0,063666293890696;-0,337322498180156;-0,0234509926416629;-0,27086960076194;0,346672423291128;-0,447971830966234;-0,452987988475743;-0,629071957077112;0,188696206539554;-0,012721962086989;0,0424004180646158;-0,0457141249153229;-0,242206698021885;-0,0168384484394491;-0,194491716232983;0,248920197714607;0,288939721507283;0,215759921245515;0,384539066409976;0,0305476184193276;0,000122781642584872;0,00128012581516209;0,00139771559900348;0,0339617918015014;0,000148329668151273;0,0176446399428698;0,0256582879486253;0,00348333138893187;0,00356177723828652;0,00686900816518734;0,00061804446354222;2,80932235803249e-06;3,1205680597326e-05;3,62738959509654e-05;0,00101827640259637;4,92150039600649e-06;0,000656592018007929;0,00107550802706209;0,00894901144640999;0,892509941690457;0,00712854980826245
"trump";-0,432456346882981;0,94906492357626;0,82589713627605;-0,329340317530061;-2,11969188484385;-1,97979048500673;-1,857555163529;2,44730516659979;1,1470591058155;-0,543250864611487;-0,230358412028909;-0,0934951201078102;0,20518357438718;0,17855525189857;-0,0712018976383516;-0,458267866325599;-0,42802181195433;-0,401595084388995;0,52909638658541;0,247989027428927;-0,117448397281279;-0,049802454179994;0,018200374624941;0,0640146221003043;0,044800377706577;0,00628971195011142;0,230388426116653;0,188643038091268;0,155988064296899;0,234360539906704;0,0465248963756173;0,00930467855163676;0,00148527027928489;0,00151794405544548;0,00731076897759619;0,00553634487172742;0,000880361445427943;0,0364683982893324;0,0318133702843712;0,0280062302261347;0,0486124454859884;0,0106793005405069;0,00239536702895817;0,0004307044582116;0,00811654526534859;2,46495465344376;0,0493161407487674
"state";-0,494093639590872;0,203436986639393;0,4470368195606;-0,531769903827232;-0,272008556413474;0,0509608234822014;-0,0234398553132148;-0,423404825150182;-0,497094538610986;0,631848163245484;-0,550741894063937;-0,351652953392281;0,14478878384309;0,318161994563918;-0,378467647065478;-0,19359207353888;0,0362694895236006;-0,0166824538660425;-0,301342792770803;-0,353788732764241;0,449694662907916;-0,391970262488722;0,244940439227262;0,0303244797296653;0,13532016959203;0,169057582497716;0,0391134841624438;0,0012886096526732;0,000256073107320891;0,0723212677900964;0,0900819945024013;0,129769360828817;0,0875265389095718;0,00203228740631971;0,000344529511200137;0,00166361638329121;0,00235404146194733;0,000615930528717104;2,16191927574118e-05;4,57379244207654e-06;0,00149237582485291;0,00205704874353273;0,00332347222806819;0,00252500839856094;0,00832466181061394;0,767689922524943;0,00490612126656693
"island";3,09589957628733;-0,411089115901321;-0,113330723401959;0,108626678392408;0,253872159699819;-0,165524077933578;-0,0400904388831146;0,129773743421889;-0,0880617699342798;-0,0263806857849303;-0,125575994809829;0,983308489811659;-0,130568646616017;-0,035995696802053;0,0345016149430108;0,0806339623777529;-0,0525731623683739;-0,0127333810230747;0,0412182696876794;-0,0279698626749584;-0,00837893854763982;-0,0398849958696431;0,979387751296084;0,0126108528972587;0,000885748119508914;0,000718454250445522;0,0034700081987764;0,00138455379209326;7,6291246822942e-05;0,00069193780981606;0,000287921305533982;2,30386934538975e-05;0,000463442390206844;0,0777937925643676;0,00137164957071564;0,000104247713174952;9,57732476761996e-05;0,000523120055224843;0,000222378895869862;1,30452629144202e-05;0,000136692560829861;6,29427965940402e-05;5,64863323971814e-06;0,000127992484584111;0,00811654526534859;2,40556088342029;0,0469682004973633
"base";-0,253025038927323;1,18643247536235;-0,0284480903913353;0,765379864716404;0,0217258427195524;0,539512717598884;-0,431230551715617;-1,78996380920819;-0,236785122264639;-0,121490174863765;-1,6944140840715;-0,0858743716606981;0,402664272957006;-0,00965502030020183;0,259762888459232;0,00737355125109415;0,183105655563469;-0,146355684111213;-0,607497258227054;-0,0803626932705184;-0,0412326482533249;-0,5750685600901;0,0167977992812894;0,269713697388043;0,000143306405760872;0,091585059642736;6,52526353674475e-05;0,0377689837967833;0,0226650448895368;0,338007507339551;0,00534505592342448;0,0012546206931041;0,216653672004404;0,000279803345849666;0,00615193806253555;3,53697623000735e-06;0,00256023581344002;2,06290469914032e-06;0,00127212350082614;0,000812727484576911;0,0140027844336684;0,000245038725628196;6,4507203820394e-05;0,0125477254639536;0,00437044745057232;1,50121926514462;0,00984949946365634
"time";0,0467111420438807;0,618515473835232;0,0200682635688974;-0,124188311881609;-0,149891085255705;-0,483601839573814;-0,546790674740787;0,0557059998110147;-0,450676082089808;-0,68760948562966;1,48975054699822;0,0237930348531622;0,31505031952242;0,0102220770814952;-0,0632572166653243;-0,0763493175207965;-0,24632999581179;-0,278516195756253;0,0283747032729068;-0,229558757492509;-0,35024441152782;0,75882723342427;0,00153232890078357;0,196202132871663;0,000190881831173474;0,00645383189767098;0,00831346431248097;0,0812256976645216;0,0975360969930008;0,000876248782482254;0,051827240550754;0,107572059959857;0,448270016235612;1,27146851507223e-05;0,00222928594348832;2,34684405302405e-06;8,98723476845179e-05;0,000130923090176008;0,0013628263680951;0,00174223541634497;1,80829210444232e-05;0,0011835692127157;0,00275516972578165;0,0129327757302564;0,00582726326742976;0,917595577254164;0,004906448702414
"ministry";2,5536839270644;-0,716622626148618;0,401239576282093;0,347087053799554;0,473980674734173;-0,0591721178514947;-0,160548817578218;0,0289253923640259;0,0382667187736842;-0,267235380352889;-0,1536814982729;0,922227267728625;-0,25879824809223;0,144902066468578;0,125345639645195;0,17117149776588;-0,0213691835522619;-0,0579799621257075;0,0104460012788346;0,0138194907856756;-0,0965083235443999;-0,0554999257153892;0,900776346690694;0,0518030444694168;0,0150080473826039;0,00991527348749888;0,0163502111004002;0,00023917922524667;0,00165389929818731;4,64679661276071e-05;7,34925270863821e-05;0,00319576873673332;0,00093826911600445;0,0488588673416219;0,00384760199356776;0,00120619253125935;0,000902580483860386;0,00168317928840221;2,62327207319714e-05;0,000193118256342873;6,2685576780151e-06;1,09711349771805e-05;0,000535053266689847;0,000176950698191575;0,00749219562955255;2,06902376350002;0,0320730355923829
