"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"60";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"61";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"62";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"64";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"65";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"66";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"67";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"71";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"72";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"73";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"74";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"76";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"79";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"80";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"81";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"82";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"83";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"84";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"85";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"86";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"87";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"88";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"89";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"90";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"91";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"92";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"93";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"94";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"95";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"96";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"97";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"98";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"99";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"100";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"103";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"108";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"109";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"111";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"112";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"113";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"114";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"115";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"116";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"117";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"118";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"119";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"120";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"121";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"122";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"123";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"124";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"125";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"126";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"127";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"128";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"129";0;0;0;0;0;0;0;0;0;0;0;0;0;1
