"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"approach";0,538;0,506;0,506;0,538;0,477;0,506;0;0,538
"american";0,538;0,506;0,506;0,538;0,317;0,003;0,423;0,538
"ahead";0,538;0,506;0,506;0,538;0,477;0,506;0;0,538
"additional";0,538;0,506;0,506;0,538;0,477;0;0,423;0,538
"fait";1;1;1;1;1;1;1;1
"*id_775904867898898";1;1;1;1;1;1;1;1
"*id_10160114601274160";0,618;0,59;0,59;0,618;0;0,59;0,517;0,618
"*phase_Après";0,537;0,005;0,041;0,002;0;0,001;0,007;0,01
"*id_678379907782506";0,618;0,59;0,59;0,618;0,565;0,59;0,001;0,618
"*platform_Facebook";1;1;1;1;1;1;1;1
"*id_6336052586407540";0,726;0,706;0,706;0,726;0,686;0,007;0,649;0,726
"*phase_Pic";0,062;0,044;0,232;0,463;0;0;0,015;0,062
"*id_10161139794274300";0,726;0,706;0,706;0,726;0,686;0,007;0,649;0,726
"*id_771143475196610";0,618;0,59;0;0,618;0,565;0,59;0,517;0,618
"*id_765222945644684";0,618;0,59;0,59;0,618;0,565;0,59;0,517;0
"débunkage";0,537;0,005;0,041;0,002;0;0,001;0,007;0,01
"*id_10159747517141408";0;0,59;0,59;0,618;0,565;0,59;0,517;0,618
"*id_6148531251881822";0,618;0,59;0,59;0;0,565;0,59;0,517;0,618
"*id_774439091393513";1;1;1;1;1;1;1;1
"*id_811595517678757";0,618;0,59;0;0,618;0,565;0,59;0,517;0,618
"*id_10160886137242444";0;0,59;0,59;0,618;0,565;0,59;0,517;0,618
"*id_782939367350354";1;1;1;1;1;1;1;1
"*id_801706851997523";1;1;1;1;1;1;1;1
"*phase_Fin";0;0,226;0,226;0;0,195;0,906;0,145;0,262
"du";1;1;1;1;1;1;1;1
"*id_866680028656064";0,618;0;0,59;0,618;0,565;0,59;0,517;0,618
"*id_787930600044362";0,618;0,59;0;0,618;0,565;0,59;0,517;0,618
"*id_10168202689905712";1;1;1;1;1;1;1;1
"*id_878401554150578";1;1;1;1;1;1;1;1
"*id_671368948527826";0,618;0,59;0,59;0,618;0,565;0,59;0,001;0,618
"*id_609200551245622";0,538;0,506;0,506;0,538;0,477;0;0,423;0,538
"*id_769236291894499";1;1;1;1;1;1;1;1
