"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"mass";"chi.distance";"inertie"
"defense";0,703664927592836;0,517604025339914;2,22605384276918;0,733737595827174;-0,0735809117677799;0,849052956546116;0,23818980185092;0,26520776129006;0,195082345889708;0,838988463119133;0,276541998233957;-0,0277322744368836;0,320003775934383;0,0897725346737154;0,113848161849539;0,0444735998076854;0,720117299089874;0,0646305409844133;0,000472804582470777;0,0536534359298539;0,00280415775616563;0,00699850643567818;0,0037867692868987;0,0700397980340274;0,00760948211350164;7,65250964887324e-05;0,0101892709967449;0,000801899388067567;0,0141342756183746;1,61974517655849;0,0370823241976605
"defence";0,957651670370606;-0,263663323467063;0,391390605447852;0,0544111448102075;-0,411203907393365;-1,2607251183117;0,267576150614401;0,555417031927818;-0,152918963208854;0,226997994289668;0,0315572744133416;-0,238489276245045;-0,7311930057184;0,155188317409197;0,552551631160253;0,0302391757657995;0,0583332563102573;0,000931312614107594;0,038692725686939;0,309979022912325;0,00927287555031924;0,014582810063379;0,00110541542981497;0,00243582942455039;4,70762440212303e-05;0,00268868883586598;0,0252735873064989;0,00113846814028019;0,0159010600706714;1,00061023178082;0,0159204726563607
"cross";0,74739065079439;-0,867629619218285;-0,43866536891356;0,395389242211342;0,0685740274280728;-2,28554412650797;0,855650303272297;0,270738884948162;-0,314294907764077;-0,15890454706491;0,143227965780704;0,0248406314723738;-0,827928028873375;0,309955454710696;0,17702972826939;0,172239359206304;0,0385438668614519;0,0258679857146692;0,000566014202983562;0,535875462531087;0,0498775832141154;0,00690839133262197;0,00931001429861142;0,00237984300563337;0,00193344270317175;5,81568562967184e-05;0,0646042114478898;0,00905470333998201;0,0123674911660777;1,37964820785572;0,0235406435372377
"day";0,726809712237371;0,122899324175085;0,590808791654151;0,416280100628068;0,131377729072555;0,485639335398175;0,517057904108983;0,577095740340475;0,0975835562981599;0,469109357344361;0,330531456605664;0,104315512777043;0,385603531545179;0,410550256754432;0,533257949326208;0,0110079808271196;0,222703731952728;0,0913333168459039;0,00661753930999372;0,0770650342303545;0,0580144475076937;0,0121330046845113;0,000346917262323331;0,00801716496085846;0,00398013884863231;0,000396433568995412;0,00541694758501369;0,00614052189155559;0,0229681978798587;0,77302912083852;0,0137251983774503
"administration";-1,86056536975507;-0,161341067136241;0,250625353813922;-1,64892063861431;-0,324546981600381;-0,0669021965749496;0,00338411895658699;-0,736645014941593;-0,0638790201856302;0,099228933584474;-0,652849498445431;-0,128496380722024;-0,0264882763039209;0,00133985851820263;0,694948412725005;0,00377281345264643;0,00796985479618546;0,284986470264888;0,00803109908414589;0,000290855462216457;4,94214912663855e-07;0,0550447552229442;0,000413919539756094;0,000998794367083358;0,0432340166997066;0,00167487047595982;7,11716168886552e-05;1,82103091892196e-07;0,0159010600706714;1,73345451802422;0,0477805319691296
"trump";-1,91591729421709;-0,177775944933844;0,0293851735581159;-0,911972739610401;-1,37720926525206;0,115649585257847;-0,104950826388313;-0,754041296587511;-0,0699666965920694;0,011565026547383;-0,358922125241996;-0,54202374140965;0,0455158286220647;-0,0413051531225477;0,756010560702544;0,0046992994415474;0,000112400584409553;0,0894334726034445;0,148364963129714;0,000891653822166023;0,000487649716174335;0,084310261515268;0,000725893508414442;1,98327730132999e-05;0,0191025187478843;0,0435639040350701;0,000307195663275718;0,00025298725702238;0,0229681978798587;1,71142009936581;0,067272904301542
"directly";0,59664057648981;0,204581725826902;3,11806170707559;1,1129520124475;0,156291786603408;1,8671297464828;0,198381065491295;0,154522604394244;0,0529841622107342;0,807539806417292;0,288240944893462;0,0404776591854886;0,483563744299602;0,0513782671010534;0,0427660391770411;0,00363011108476549;0,738211101009038;0,0776941590428171;0,00111455859193972;0,135567698628761;0,00101633246563832;0,0044025792272061;0,000517625049109888;0,12024056831081;0,0153191435937749;0,000302102222469605;0,0431152198434741;0,000486723197912067;0,0123674911660777;2,24082051841389;0,0621005939403052
"year";-1,74500126818682;-0,0467685740497863;-0,860504310746693;1,67850786894335;-1,22068119065512;0,219189013422608;1,19027101403856;-0,564375970924094;-0,0151260975388917;-0,278308081899938;0,542870383826687;-0,39479806962009;0,070891072987481;0,384962676794397;0,518601260100752;0,000268944775552202;0,0797050569692895;0,250524884683193;0,096383726528269;0,00264858190094617;0,0518675450419978;0,0161397319397894;1,15934603462033e-05;0,00392474029406524;0,0149331554740534;0,00789785814073785;0,000254649241723549;0,00750924957699843;0,00530035335689046;1,88201363136455;0,0187737207171836
"taipei";0,596640576489811;0,204581725826902;3,1180617070756;1,1129520124475;0,156291786603408;1,8671297464828;0,198381065491295;0,154522604394244;0,0529841622107341;0,807539806417292;0,288240944893461;0,0404776591854886;0,483563744299602;0,0513782671010534;0,0427660391770411;0,00363011108476548;0,738211101009038;0,0776941590428171;0,00111455859193973;0,135567698628761;0,00101633246563832;0,00188681966880262;0,00022183930676138;0,0515316721332041;0,00656534725447494;0,000129472381058402;0,0184779513614889;0,000208595656248029;0,00530035335689046;2,24082051841389;0,0266145402601308
"shoot";-1,0338413954946;-0,00598336877994092;-1,13496218908344;1,69788878721937;3,16802006690808;-0,178505055504416;3,04580507407493;-0,208506236277662;-0,00120673220283455;-0,228900385875951;0,342432023116843;0,638929668981861;-0,0360010901497659;0,614281218761748;0,116120457997619;2,80805253163953e-06;0,0884507243613495;0,163523968932491;0,414127325091073;0,00112056154707556;0,21665415401786;0,0188838874741736;6,32521235985365e-07;0,0227586425909732;0,0509333274516834;0,177320691595976;0,000562969166795663;0,163903331259021;0,0176678445229682;2,35636926315186;0,0981002845287429
"election";1,13701606034369;-0,366804243034864;-1,4336538745129;-0,766427918688139;-0,144775653669962;1,64405978933675;0,0866705733830876;0,435976696625999;-0,140647179722687;-0,549719306626389;-0,293878621284024;-0,0555126822217627;0,630397213381501;0,0332329081322018;0,333181547768723;0,0250339410704814;0,334791228239958;0,0790409970174843;0,00205161538198931;0,22548451756311;0,000416152958254867;0,0251251956471277;0,00261483901023352;0,0399452257084177;0,0114161295052844;0,000407349626945604;0,0525304920495654;0,000145988818367641;0,019434628975265;1,52992425571429;0,0454900185697034
